iter	RMSE
0	1.082282136
1	1.021959533
2	0.9690571548
3	0.9212695015
4	0.8800586903
5	0.8438017034
6	0.8095506107
7	0.7823539081
8	0.7570895174
9	0.7345356336
10	0.7164389767
11	0.6996259877
12	0.6820847287
13	0.6690252771
14	0.6522419446
15	0.6378656334
16	0.6257335246
17	0.6150703447
18	0.6069703312
19	0.6000766747
20	0.5924654572
21	0.5872744624
22	0.5821898495
23	0.5767024396
24	0.5709381371
25	0.5666850156
26	0.5612544288
27	0.5569387167
28	0.553666211
29	0.5498306547
30	0.5474232288
31	0.5434719425
32	0.540653221
33	0.5380091795
34	0.535493481
35	0.5325591101
36	0.5302521669
37	0.5282563834
38	0.5260448103
39	0.5237084043
40	0.5219032866
41	0.5203393988
42	0.5186387865
43	0.5174011843
44	0.515271204
45	0.5138409023
46	0.512021863
47	0.5096909239
48	0.5079232522
49	0.5070822478
50	0.5054874208
51	0.5036879124
52	0.5016314164
53	0.5004617152
54	0.4990123854
55	0.497371968
56	0.4955298696
57	0.4943510488
58	0.4934231861
59	0.4922582979
60	0.491052507
61	0.4899984675
62	0.4889109976
63	0.4880415837
64	0.4858731775
65	0.4847269572
66	0.4832167155
67	0.4821638772
68	0.4813016326
69	0.4801340202
70	0.4789957056
71	0.4778006336
72	0.4770981313
73	0.4760625865
74	0.4744943093
75	0.4735809181
76	0.4721003818
77	0.4715331162
78	0.4708285541
79	0.4699332344
80	0.4689224567
81	0.4679261963
82	0.4670837233
83	0.4657826318
84	0.4648551641
85	0.4629573301
86	0.4622477005
87	0.461009943
88	0.4601317963
89	0.4593847739
90	0.4583856859
91	0.4574462004
92	0.4566502005
93	0.4559481914
94	0.4551631951
95	0.4542239843
96	0.4533234494
97	0.452172934
98	0.4512168216
99	0.4504973824
100	0.4493820521
101	0.448749159
102	0.4473982852
103	0.4464164408
104	0.4456786227
105	0.4448171964
106	0.4443761713
107	0.4434505528
108	0.442745162
109	0.44220856
110	0.4416180861
111	0.4407887384
112	0.4397047601
113	0.4386145198
114	0.4377237938
115	0.4369307275
116	0.4361877365
117	0.4352077471
118	0.4346131539
119	0.4339362128
120	0.4330778076
121	0.4320178166
122	0.4311155238
123	0.4303965372
124	0.429317919
125	0.4287284311
126	0.4280024316
127	0.427369827
128	0.4268447125
129	0.4263718824
130	0.4256318705
131	0.4249904207
132	0.4241256774
133	0.4234754537
134	0.4227235055
135	0.4221843527
136	0.421373329
137	0.4205933392
138	0.4198604749
139	0.4191360034
140	0.4186779447
141	0.4179862866
142	0.4172989093
143	0.4166370095
144	0.4158900908
145	0.4154299791
146	0.4149030657
147	0.4142359942
148	0.4136095206
149	0.4128631238
150	0.4122749309
151	0.41182283
152	0.4112790936
153	0.4106709566
154	0.4101191985
155	0.4096034158
156	0.4089750156
157	0.4084349588
158	0.4080521522
159	0.4074873112
160	0.407047931
161	0.4064373632
162	0.405906393
163	0.4051476493
164	0.4044757449
165	0.4036419966
166	0.4029224808
167	0.4021794127
168	0.4017406182
169	0.4011002378
170	0.4006423996
171	0.4001139948
172	0.3995866276
173	0.3989153858
174	0.3984362398
175	0.3973016157
176	0.3969280138
177	0.3965338387
178	0.3958010132
179	0.3953178
180	0.3946855499
181	0.3940885321
182	0.3933980699
183	0.3929519679
184	0.3924740622
185	0.3921096782
186	0.3915961402
187	0.3911095505
188	0.3908011056
189	0.3901474056
190	0.3897324957
191	0.3891765634
192	0.3887027035
193	0.3883225459
194	0.3880153739
195	0.387362731
196	0.3869566634
197	0.3864988219
198	0.386025869
199	0.3855403502
