iter	Passed	Remaining
0	3	3039
1	5	2724
2	7	2567
3	9	2481
4	12	2424
5	14	2471
6	17	2442
7	19	2403
8	22	2424
9	24	2421
10	28	2538
11	32	2639
12	35	2718
13	38	2686
14	40	2655
15	42	2624
16	46	2668
17	51	2797
18	54	2834
19	58	2847
20	60	2827
21	63	2817
22	66	2833
23	68	2805
24	72	2814
25	74	2786
26	76	2756
27	78	2735
28	81	2717
29	83	2714
30	86	2695
31	89	2696
32	91	2680
33	94	2670
34	98	2717
35	101	2714
36	106	2765
37	108	2747
38	111	2747
39	113	2729
40	115	2710
41	118	2705
42	121	2712
43	124	2697
44	126	2683
45	132	2744
46	135	2743
47	138	2739
48	140	2724
49	143	2720
50	145	2714
51	148	2700
52	150	2684
53	152	2671
54	154	2656
55	156	2642
56	160	2650
57	162	2647
58	166	2652
59	168	2646
60	171	2644
61	174	2633
62	178	2658
63	181	2647
64	183	2634
65	185	2622
66	187	2611
67	189	2599
68	191	2589
69	194	2578
70	196	2567
71	198	2558
72	201	2555
73	203	2548
74	208	2566
75	211	2574
76	214	2565
77	216	2557
78	218	2547
79	220	2537
80	222	2528
81	225	2523
82	227	2514
83	229	2505
84	232	2497
85	234	2488
86	236	2480
87	238	2471
88	240	2466
89	243	2458
90	245	2450
91	247	2442
92	249	2435
93	251	2427
94	254	2420
95	257	2422
96	259	2418
97	262	2413
98	269	2449
99	271	2444
100	274	2441
101	276	2433
102	278	2426
103	280	2419
104	283	2412
105	285	2406
106	287	2401
107	289	2393
108	291	2386
109	294	2379
110	296	2373
111	298	2367
112	300	2361
113	303	2355
114	305	2349
115	310	2363
116	312	2361
117	315	2354
118	317	2349
119	319	2342
120	321	2337
121	323	2330
122	326	2324
123	328	2318
124	330	2312
125	332	2306
126	334	2300
127	336	2295
128	339	2290
129	341	2285
130	343	2280
131	345	2275
132	348	2271
133	350	2266
134	352	2261
135	355	2256
136	357	2250
137	359	2244
138	361	2239
139	363	2235
140	366	2230
141	368	2225
142	370	2220
143	372	2215
144	374	2210
145	377	2205
146	379	2199
147	381	2194
148	383	2189
149	385	2184
150	387	2180
151	389	2175
152	392	2170
153	394	2165
154	396	2160
155	398	2155
156	400	2151
157	402	2146
158	404	2142
159	407	2137
160	409	2132
161	412	2132
162	414	2128
163	416	2124
164	419	2122
165	421	2117
166	423	2112
167	427	2116
168	431	2119
169	435	2125
170	437	2121
171	439	2117
172	442	2113
173	444	2109
174	446	2104
175	448	2101
176	451	2099
177	453	2096
178	456	2091
179	458	2087
180	460	2083
181	462	2078
182	465	2077
183	468	2075
184	471	2075
185	473	2071
186	475	2066
187	477	2063
188	479	2059
189	483	2061
190	485	2057
191	488	2053
192	490	2049
193	492	2045
194	494	2041
195	496	2037
196	499	2037
197	501	2033
198	504	2028
199	506	2024
200	508	2020
201	510	2016
202	513	2014
203	515	2010
204	518	2012
205	521	2008
206	525	2012
207	527	2008
208	530	2008
209	532	2004
210	535	2001
211	537	1997
212	539	1993
213	541	1990
214	544	1986
215	546	1983
216	548	1979
217	550	1975
218	553	1972
219	557	1977
220	560	1974
221	562	1972
222	564	1968
223	567	1964
224	569	1960
225	571	1956
226	573	1952
227	575	1949
228	578	1946
229	580	1942
230	582	1938
231	584	1935
232	586	1931
233	589	1928
234	591	1924
235	593	1920
236	595	1917
237	597	1913
238	599	1909
239	601	1906
240	604	1902
241	606	1898
242	608	1894
243	610	1891
244	612	1887
245	614	1884
246	616	1880
247	619	1877
248	621	1873
249	623	1869
250	625	1866
251	627	1862
252	629	1859
253	632	1856
254	634	1852
255	636	1849
256	638	1846
257	640	1842
258	642	1839
259	644	1835
260	647	1832
261	649	1828
262	651	1825
263	653	1821
264	655	1818
265	657	1815
266	659	1811
267	662	1808
268	664	1805
269	666	1801
270	668	1798
271	670	1795
272	672	1791
273	674	1788
274	677	1785
275	679	1782
276	681	1778
277	683	1775
278	685	1771
279	687	1768
280	689	1765
281	692	1762
282	694	1758
283	696	1755
284	698	1752
285	700	1749
286	702	1745
287	704	1742
288	707	1739
289	709	1736
290	711	1733
291	713	1730
292	715	1727
293	717	1723
294	720	1720
295	722	1718
296	724	1715
297	726	1711
298	728	1708
299	731	1705
300	733	1702
301	735	1699
302	737	1696
303	739	1693
304	741	1690
305	744	1687
306	746	1684
307	748	1681
308	750	1678
309	752	1675
310	754	1672
311	757	1669
312	759	1666
313	761	1663
314	763	1660
315	765	1657
316	767	1654
317	770	1651
318	772	1648
319	774	1645
320	776	1642
321	778	1640
322	781	1636
323	783	1634
324	785	1631
325	787	1628
326	789	1625
327	791	1622
328	794	1619
329	796	1616
330	798	1613
331	800	1610
332	802	1607
333	804	1604
334	807	1602
335	810	1602
336	812	1599
337	815	1596
338	817	1593
339	819	1590
340	821	1587
341	823	1584
342	825	1581
343	827	1578
344	830	1575
345	832	1573
346	834	1570
347	836	1567
348	838	1564
349	840	1561
350	843	1558
351	845	1555
352	847	1553
353	849	1550
354	851	1547
355	853	1544
356	855	1541
357	858	1538
358	860	1536
359	862	1533
360	864	1530
361	866	1527
362	869	1525
363	871	1522
364	873	1519
365	875	1516
366	877	1513
367	879	1511
368	881	1508
369	884	1505
370	886	1502
371	888	1499
372	890	1496
373	892	1494
374	895	1493
375	898	1491
376	901	1489
377	903	1487
378	907	1487
379	912	1488
380	914	1485
381	916	1483
382	918	1480
383	921	1477
384	923	1474
385	925	1471
386	927	1469
387	929	1466
388	931	1463
389	934	1461
390	936	1458
391	938	1455
392	941	1453
393	943	1451
394	945	1448
395	947	1445
396	949	1442
397	952	1440
398	954	1437
399	956	1435
400	959	1433
401	961	1430
402	964	1428
403	966	1425
404	968	1423
405	970	1420
406	972	1417
407	975	1414
408	977	1411
409	979	1409
410	981	1406
411	983	1404
412	986	1401
413	988	1398
414	990	1396
415	992	1393
416	994	1390
417	996	1388
418	999	1385
419	1001	1382
420	1003	1379
421	1005	1377
422	1007	1374
423	1009	1371
424	1012	1369
425	1014	1366
426	1016	1363
427	1018	1361
428	1020	1358
429	1023	1356
430	1025	1353
431	1027	1350
432	1029	1348
433	1031	1345
434	1033	1342
435	1035	1340
436	1038	1337
437	1040	1334
438	1042	1332
439	1044	1329
440	1046	1326
441	1048	1324
442	1051	1321
443	1053	1318
444	1055	1316
445	1057	1313
446	1059	1311
447	1062	1308
448	1064	1306
449	1066	1303
450	1069	1301
451	1071	1298
452	1073	1296
453	1075	1293
454	1077	1290
455	1079	1288
456	1082	1285
457	1084	1283
458	1086	1280
459	1088	1277
460	1090	1275
461	1092	1272
462	1094	1270
463	1097	1267
464	1099	1264
465	1101	1262
466	1103	1259
467	1105	1256
468	1107	1254
469	1110	1251
470	1112	1249
471	1114	1246
472	1116	1244
473	1118	1241
474	1120	1238
475	1122	1236
476	1125	1233
477	1127	1231
478	1129	1228
479	1131	1225
480	1133	1223
481	1135	1220
482	1137	1218
483	1140	1215
484	1142	1212
485	1144	1210
486	1146	1207
487	1148	1205
488	1151	1203
489	1153	1200
490	1155	1197
491	1157	1195
492	1160	1193
493	1162	1190
494	1164	1188
495	1167	1186
496	1169	1183
497	1171	1181
498	1174	1178
499	1176	1176
500	1178	1173
501	1181	1171
502	1183	1169
503	1185	1166
504	1188	1164
505	1193	1165
506	1198	1165
507	1201	1163
508	1203	1161
509	1206	1159
510	1209	1157
511	1212	1155
512	1214	1153
513	1216	1150
514	1218	1147
515	1221	1145
516	1223	1143
517	1226	1140
518	1228	1138
519	1230	1135
520	1232	1133
521	1234	1130
522	1237	1128
523	1239	1125
524	1241	1123
525	1244	1121
526	1246	1118
527	1248	1116
528	1251	1114
529	1253	1111
530	1257	1110
531	1260	1109
532	1263	1106
533	1265	1104
534	1267	1101
535	1270	1099
536	1274	1098
537	1276	1096
538	1278	1093
539	1281	1091
540	1283	1089
541	1286	1086
542	1289	1085
543	1292	1083
544	1294	1081
545	1298	1079
546	1301	1077
547	1305	1076
548	1307	1073
549	1309	1071
550	1312	1069
551	1314	1066
552	1316	1064
553	1319	1061
554	1322	1060
555	1325	1058
556	1328	1056
557	1330	1053
558	1332	1051
559	1336	1049
560	1339	1048
561	1342	1046
562	1346	1045
563	1349	1043
564	1352	1041
565	1354	1038
566	1357	1036
567	1359	1034
568	1361	1031
569	1363	1028
570	1366	1026
571	1369	1025
572	1372	1022
573	1374	1020
574	1378	1018
575	1381	1016
576	1384	1015
577	1387	1012
578	1389	1010
579	1391	1007
580	1393	1005
581	1396	1002
582	1398	1000
583	1401	998
584	1404	996
585	1406	993
586	1408	990
587	1410	988
588	1412	985
589	1415	983
590	1418	981
591	1421	979
592	1424	977
593	1427	975
594	1430	973
595	1434	972
596	1436	969
597	1438	967
598	1440	964
599	1444	962
600	1446	960
601	1449	958
602	1451	955
603	1454	953
604	1457	951
605	1459	949
606	1463	947
607	1467	946
608	1470	944
609	1472	941
610	1474	938
611	1476	936
612	1479	933
613	1482	931
614	1484	929
615	1486	926
616	1488	923
617	1490	921
618	1493	919
619	1499	918
620	1502	916
621	1504	914
622	1506	911
623	1508	908
624	1510	906
625	1514	904
626	1516	901
627	1518	899
628	1520	896
629	1522	894
630	1524	891
631	1528	889
632	1531	887
633	1533	885
634	1535	882
635	1538	880
636	1541	878
637	1549	878
638	1551	876
639	1553	873
640	1555	871
641	1557	868
642	1560	866
643	1562	863
644	1565	861
645	1567	859
646	1569	856
647	1571	853
648	1574	851
649	1577	849
650	1580	847
651	1585	846
652	1588	843
653	1590	841
654	1594	839
655	1596	837
656	1598	834
657	1600	831
658	1603	829
659	1605	827
660	1608	824
661	1611	822
662	1613	820
663	1616	817
664	1619	815
665	1621	813
666	1624	811
667	1627	808
668	1629	806
669	1632	803
670	1634	801
671	1636	798
672	1638	796
673	1642	794
674	1644	791
675	1647	789
676	1649	786
677	1651	784
678	1654	781
679	1656	779
680	1663	779
681	1665	776
682	1668	774
683	1670	771
684	1672	769
685	1676	767
686	1678	764
687	1680	762
688	1682	759
689	1685	757
690	1687	754
691	1691	752
692	1693	750
693	1697	748
694	1699	745
695	1702	743
696	1705	741
697	1707	738
698	1710	736
699	1712	733
700	1714	731
701	1717	729
702	1720	726
703	1723	724
704	1725	722
705	1728	719
706	1730	717
707	1733	715
708	1737	713
709	1740	710
710	1742	708
711	1745	706
712	1747	703
713	1749	700
714	1752	698
715	1755	696
716	1757	693
717	1759	691
718	1762	688
719	1764	686
720	1766	683
721	1769	681
722	1772	678
723	1774	676
724	1776	673
725	1779	671
726	1782	669
727	1787	667
728	1790	665
729	1792	662
730	1794	660
731	1797	658
732	1799	655
733	1802	653
734	1805	650
735	1807	648
736	1810	645
737	1812	643
738	1814	640
739	1817	638
740	1820	636
741	1823	634
742	1826	631
743	1829	629
744	1832	627
745	1836	625
746	1838	622
747	1841	620
748	1843	617
749	1846	615
750	1848	613
751	1852	610
752	1854	608
753	1857	606
754	1861	604
755	1865	602
756	1868	599
757	1871	597
758	1873	594
759	1876	592
760	1878	589
761	1880	587
762	1883	584
763	1885	582
764	1888	580
765	1890	577
766	1892	574
767	1894	572
768	1896	569
769	1901	567
770	1904	565
771	1909	564
772	1913	561
773	1917	559
774	1919	557
775	1921	554
776	1923	552
777	1925	549
778	1927	546
779	1931	544
780	1933	542
781	1936	539
782	1940	537
783	1942	535
784	1945	532
785	1948	530
786	1950	527
787	1952	525
788	1954	522
789	1956	520
790	1958	517
791	1961	515
792	1964	512
793	1966	510
794	1968	507
795	1971	505
796	1973	502
797	1976	500
798	1982	498
799	1985	496
800	1987	493
801	1989	491
802	1991	488
803	1993	486
804	1997	483
805	1999	481
806	2001	478
807	2003	476
808	2006	473
809	2008	471
810	2011	468
811	2013	466
812	2016	463
813	2018	461
814	2020	458
815	2022	456
816	2026	453
817	2030	451
818	2032	449
819	2035	446
820	2037	444
821	2039	441
822	2041	439
823	2044	436
824	2047	434
825	2049	431
826	2052	429
827	2054	426
828	2056	424
829	2058	421
830	2061	419
831	2065	417
832	2070	415
833	2072	412
834	2076	410
835	2078	407
836	2080	405
837	2083	402
838	2085	400
839	2087	397
840	2089	395
841	2092	392
842	2094	390
843	2097	387
844	2103	385
845	2106	383
846	2109	381
847	2112	378
848	2114	376
849	2116	373
850	2118	370
851	2120	368
852	2123	365
853	2125	363
854	2127	360
855	2130	358
856	2132	355
857	2134	353
858	2136	350
859	2138	348
860	2141	345
861	2144	343
862	2150	341
863	2153	338
864	2155	336
865	2158	333
866	2160	331
867	2162	328
868	2164	326
869	2167	323
870	2169	321
871	2171	318
872	2173	316
873	2176	313
874	2178	311
875	2180	308
876	2182	306
877	2186	303
878	2189	301
879	2193	299
880	2195	296
881	2198	294
882	2200	291
883	2202	289
884	2206	286
885	2208	284
886	2210	281
887	2212	279
888	2214	276
889	2216	273
890	2219	271
891	2222	269
892	2225	266
893	2227	264
894	2229	261
895	2232	259
896	2234	256
897	2238	254
898	2240	251
899	2242	249
900	2244	246
901	2246	244
902	2248	241
903	2251	239
904	2254	236
905	2256	234
906	2258	231
907	2260	229
908	2262	226
909	2264	223
910	2266	221
911	2269	219
912	2272	216
913	2275	214
914	2278	211
915	2280	209
916	2283	206
917	2286	204
918	2288	201
919	2290	199
920	2292	196
921	2295	194
922	2297	191
923	2299	189
924	2302	186
925	2305	184
926	2307	181
927	2309	179
928	2311	176
929	2313	174
930	2318	171
931	2322	169
932	2326	167
933	2328	164
934	2330	162
935	2332	159
936	2335	157
937	2337	154
938	2340	152
939	2342	149
940	2344	146
941	2346	144
942	2348	141
943	2351	139
944	2357	137
945	2359	134
946	2361	132
947	2364	129
948	2367	127
949	2370	124
950	2372	122
951	2374	119
952	2377	117
953	2379	114
954	2381	112
955	2384	109
956	2388	107
957	2391	104
958	2394	102
959	2397	99
960	2400	97
961	2402	94
962	2404	92
963	2406	89
964	2409	87
965	2411	84
966	2414	82
967	2416	79
968	2418	77
969	2420	74
970	2423	72
971	2426	69
972	2429	67
973	2434	64
974	2436	62
975	2438	59
976	2441	57
977	2443	54
978	2446	52
979	2448	49
980	2451	47
981	2453	44
982	2455	42
983	2457	39
984	2460	37
985	2462	34
986	2466	32
987	2469	29
988	2473	27
989	2475	25
990	2477	22
991	2480	20
992	2483	17
993	2485	15
994	2487	12
995	2489	9
996	2492	7
997	2495	5
998	2498	2
999	2502	0
