iter	RMSE
0	1.101511383
1	1.055555242
2	1.015017798
3	0.9790752352
4	0.9435912445
5	0.913127491
6	0.8843114052
7	0.8604326254
8	0.8389086636
9	0.8167797784
10	0.7977544907
11	0.7768415933
12	0.7601496143
13	0.7468389404
14	0.7339802547
15	0.7214706441
16	0.7105830413
17	0.6984943574
18	0.6868410861
19	0.6781674674
20	0.6705744922
21	0.6636830078
22	0.6570041494
23	0.6509024265
24	0.6455158749
25	0.6384777495
26	0.6336595968
27	0.629701552
28	0.62546849
29	0.6225136385
30	0.61899504
31	0.6154159956
32	0.6126615498
33	0.6102948205
34	0.6049784291
35	0.602771335
36	0.6003578535
37	0.5981113088
38	0.5936580286
39	0.5892954159
40	0.5873054242
41	0.5836779817
42	0.5820150701
43	0.5788610467
44	0.5770692393
45	0.5745955793
46	0.5723848315
47	0.5706842415
48	0.5686401584
49	0.5668065086
50	0.5655132225
51	0.5636401453
52	0.5622837762
53	0.5610249158
54	0.5587459589
55	0.5576364179
56	0.5559202275
57	0.5546154151
58	0.5534536104
59	0.5526160327
60	0.5515165255
61	0.5496505598
62	0.5474832532
63	0.5464507505
64	0.5455379114
65	0.5446727672
66	0.5433553442
67	0.5421611938
68	0.5406637601
69	0.5392603345
70	0.538319831
71	0.5375660448
72	0.5371024437
73	0.5361772349
74	0.5348083325
75	0.5334980381
76	0.5326486585
77	0.5318137855
78	0.5307059138
79	0.5301041138
80	0.5290540725
81	0.5279665523
82	0.5270175388
83	0.5265379149
84	0.5258614123
85	0.5254657773
86	0.5245885023
87	0.5239208979
88	0.5224706649
89	0.5215389387
90	0.5206156016
91	0.5196393124
92	0.5193145051
93	0.5185639489
94	0.5178001796
95	0.5173085243
96	0.5169022671
97	0.5163028562
98	0.5156171233
99	0.5150326391
100	0.5142124552
101	0.5137552085
102	0.513274375
103	0.512134449
104	0.5115881556
105	0.5111301117
106	0.5105268069
107	0.5101006403
108	0.5098074367
109	0.5093911248
110	0.5089287767
111	0.5086050705
112	0.5076068379
113	0.5070549581
114	0.5065676013
115	0.505810358
116	0.5049636473
117	0.5046284666
118	0.5042052625
119	0.5034908099
120	0.5024966222
121	0.5020086991
122	0.5013134752
123	0.5008872497
124	0.5004393431
125	0.4991425651
126	0.4988454921
127	0.4982965206
128	0.4978669004
129	0.49749632
130	0.497155271
131	0.4965180163
132	0.4959079705
133	0.495170491
134	0.4947719947
135	0.4942132904
136	0.4930525694
137	0.492606047
138	0.4920264596
139	0.4916107002
140	0.4912990823
141	0.4909440607
142	0.4905389743
143	0.4902594893
144	0.4898117183
145	0.4892690118
146	0.4887393512
147	0.4881408161
148	0.4877865768
149	0.4873704141
150	0.4869854634
151	0.4864781409
152	0.4859082691
153	0.4856040805
154	0.485031509
155	0.4840949992
156	0.4837115925
157	0.4833161785
158	0.4830453072
159	0.4825947199
160	0.4819378767
161	0.4816466247
162	0.4812658126
163	0.4807213605
164	0.4802747432
165	0.4796546164
166	0.4793552465
167	0.4788644418
168	0.4785833602
169	0.4781825301
170	0.4777626571
171	0.4769961122
172	0.4766525622
173	0.4761886834
174	0.4755483517
175	0.4752720065
176	0.4748882948
177	0.4743075804
178	0.4740780429
179	0.4736868019
180	0.4733216991
181	0.4729635149
182	0.4725325799
183	0.4720891213
184	0.4716870986
185	0.471318533
186	0.4711031889
187	0.4707865647
188	0.4701373873
189	0.469852139
190	0.4694655188
191	0.4690944061
192	0.468705962
193	0.4680197728
194	0.4677236612
195	0.46734712
196	0.4669175233
197	0.4665816206
198	0.4659085012
199	0.4656625336
200	0.4653423815
201	0.4650931699
202	0.4646500036
203	0.4643893092
204	0.4640123884
205	0.463635017
206	0.463335495
207	0.4630107529
208	0.4627169938
209	0.4623845832
210	0.4620414106
211	0.4617344767
212	0.4612023159
213	0.4606274983
214	0.4603743281
215	0.4601331551
216	0.4598019263
217	0.4594880496
218	0.4591704135
219	0.4589068938
220	0.4586011479
221	0.4583793618
222	0.4580792955
223	0.4578285733
224	0.4576088616
225	0.4571966564
226	0.4569877464
227	0.4566953834
228	0.4564489938
229	0.4558060461
230	0.4555256134
231	0.4552524679
232	0.4549608942
233	0.454620319
234	0.4544140653
235	0.4542439428
236	0.4540453312
237	0.4537462077
238	0.4535348341
239	0.4533464073
240	0.4530882807
241	0.4527929881
242	0.4524709189
243	0.4522482885
244	0.4518215738
245	0.4515143661
246	0.451237811
247	0.4510382623
248	0.4506784835
249	0.4503758466
250	0.450079243
251	0.4498503563
252	0.4497399388
253	0.4494453547
254	0.4493031751
255	0.4488666163
256	0.448483646
257	0.448291631
258	0.4480324024
259	0.4477795462
260	0.4475411307
261	0.4472170591
262	0.4470400597
263	0.4467565712
264	0.4465098031
265	0.446167637
266	0.4459173394
267	0.4457928057
268	0.4455138941
269	0.4452563899
270	0.4450401768
271	0.4446230818
272	0.4444296029
273	0.4440839262
274	0.4438502636
275	0.4436730129
276	0.4433529517
277	0.443194328
278	0.4428323363
279	0.4425791269
280	0.4422832001
281	0.442104549
282	0.4418824854
283	0.4417181898
284	0.4414313034
285	0.4411574947
286	0.4409887406
287	0.4407270225
288	0.4405675653
289	0.4403261207
290	0.4400709929
291	0.43984958
292	0.4397050934
293	0.439568575
294	0.4394573268
295	0.4392491917
296	0.4390458286
297	0.438812737
298	0.4385054781
299	0.4382355081
300	0.4380809519
301	0.4378975311
302	0.437618365
303	0.4375248751
304	0.437318671
305	0.437192892
306	0.4369365635
307	0.4367065578
308	0.4365237546
309	0.436171923
310	0.4360277919
311	0.4357119268
312	0.4355139991
313	0.4353780849
314	0.4352787711
315	0.4351968484
316	0.4349261872
317	0.4348052457
318	0.4345389661
319	0.434450945
320	0.4342208927
321	0.4340337557
322	0.4337671911
323	0.433677385
324	0.4333387081
325	0.4331781345
326	0.4330508506
327	0.4328410155
328	0.4326052974
329	0.4325597216
330	0.43234124
331	0.4322204939
332	0.4321007606
333	0.4319371679
334	0.4318837618
335	0.4316692042
336	0.4313785
337	0.431132186
338	0.4309737843
339	0.4308156369
340	0.4305371143
341	0.4304381379
342	0.4302099942
343	0.4299562485
344	0.4298135003
345	0.4297057272
346	0.4295574395
347	0.4295254348
348	0.429324853
349	0.429084303
350	0.4289401261
351	0.428821522
352	0.4286366448
353	0.428434472
354	0.4281665659
355	0.4279750222
356	0.4278178072
357	0.4276944768
358	0.4275782066
359	0.4273552975
360	0.4272038796
361	0.427110728
362	0.426897676
363	0.4267238272
364	0.4266394842
365	0.4265350061
366	0.4264611819
367	0.4263488694
368	0.4262262915
369	0.426030986
370	0.4257955979
371	0.4256568833
372	0.4255627132
373	0.4254016079
374	0.4252679284
375	0.4249950748
376	0.4248257893
377	0.4246274833
378	0.4245278228
379	0.4243582412
380	0.4241557978
381	0.4239640194
382	0.4238062314
383	0.4235955763
384	0.4233402444
385	0.4231401907
386	0.422960839
387	0.4226912604
388	0.4226053566
389	0.4225151424
390	0.4223493581
391	0.4222391926
392	0.4220789698
393	0.4218695013
394	0.4215981743
395	0.42142595
396	0.4212661512
397	0.420953811
398	0.4208355228
399	0.4207616356
400	0.4205860423
401	0.4204934114
402	0.4202846565
403	0.4201426603
404	0.420044509
