iter	RMSE
0	1.108617055
1	1.065790687
2	1.027961289
3	0.9893927083
4	0.9585289089
5	0.9319963907
6	0.9072579254
7	0.8846567089
8	0.8617642789
9	0.8433939549
10	0.8273083841
11	0.813035565
12	0.7972528752
13	0.7826211292
14	0.772440273
15	0.7578682395
16	0.747650794
17	0.7377649213
18	0.7292990544
19	0.7228964122
20	0.713155628
21	0.7080251699
22	0.7021947034
23	0.697859977
24	0.6914369471
25	0.6870225031
26	0.6828131705
27	0.6792129716
28	0.6754940714
29	0.6724126064
30	0.6691892974
31	0.6661274498
32	0.6604755029
33	0.6560532655
34	0.6534687896
35	0.6506903718
36	0.6464242407
37	0.6439409604
38	0.6418266858
39	0.6377382599
40	0.6334198278
41	0.6292863411
42	0.626436172
43	0.6232230993
44	0.6190493355
45	0.6170576702
46	0.6148154086
47	0.6122442307
48	0.6087374618
49	0.6064850964
50	0.604715974
51	0.6026607067
52	0.6010643728
53	0.5987527363
54	0.5972589326
55	0.5948293406
56	0.5933860983
57	0.5915350886
58	0.5882641261
59	0.5872416284
60	0.5859208659
61	0.5847105695
62	0.582570418
63	0.5814884821
64	0.5804019356
65	0.5777142695
66	0.5765763936
67	0.575157518
68	0.5741962783
69	0.5733638852
70	0.5724785673
71	0.5712521849
72	0.570574594
73	0.5696712199
74	0.5683434433
75	0.5676026959
76	0.5667592042
77	0.5653879487
78	0.5644724572
79	0.5631865267
80	0.5625927336
81	0.5619661854
82	0.5612768409
83	0.5604951616
84	0.5598551792
85	0.5587248372
86	0.5576970334
87	0.5569548978
88	0.5555972947
89	0.5549083837
90	0.5541409916
91	0.5532069214
92	0.5518697237
93	0.5502191063
94	0.5497304572
95	0.5488685405
96	0.5482365162
97	0.5477335017
98	0.5465484677
99	0.5453945508
100	0.5445395081
101	0.5436600886
102	0.5430468477
103	0.5423080821
104	0.5418518584
105	0.5403554424
106	0.5398148337
107	0.5393463702
108	0.5383129042
109	0.5375608144
110	0.5369552777
111	0.5361450781
112	0.5351629791
113	0.5348038842
114	0.5341278737
115	0.5332092339
116	0.5324953788
117	0.5318940485
118	0.5314326851
119	0.5304529893
120	0.5300096161
121	0.5295844793
122	0.5285435228
123	0.5275942938
124	0.5270455137
125	0.5262746622
126	0.5257670087
127	0.5252579072
128	0.5244600871
129	0.5239291842
130	0.5235436709
131	0.5230071099
132	0.522589213
133	0.5219894971
134	0.5216821243
135	0.5206281803
136	0.51957514
137	0.5191729785
138	0.5186624757
139	0.5181171782
140	0.5177371744
141	0.5172095174
142	0.5167026071
143	0.5160955284
144	0.5155211396
145	0.5148658849
146	0.5141924406
147	0.513541606
148	0.5130005587
149	0.5126204484
150	0.5121269271
151	0.5114673133
152	0.5111604611
153	0.5107239514
154	0.5102573665
155	0.509679854
156	0.5091599814
157	0.508669604
158	0.5083365245
159	0.5079029677
160	0.5072362879
