iter	Passed	Remaining
0	2	2885
1	5	2535
2	7	2594
3	10	2505
4	12	2422
5	14	2358
6	16	2331
7	18	2296
8	20	2278
9	23	2279
10	25	2293
11	27	2277
12	29	2266
13	32	2256
14	34	2263
15	36	2247
16	38	2234
17	40	2220
18	43	2224
19	45	2217
20	47	2207
21	49	2204
22	52	2209
23	54	2201
24	56	2194
25	58	2199
26	60	2193
27	63	2199
28	65	2195
29	67	2197
30	70	2189
31	72	2190
32	75	2200
33	77	2194
34	79	2192
35	82	2198
36	84	2192
37	86	2185
38	88	2184
39	90	2183
40	93	2178
41	95	2178
42	98	2186
43	100	2180
44	102	2175
45	104	2167
46	107	2180
47	109	2175
48	111	2170
49	114	2168
50	116	2169
51	118	2164
52	120	2158
53	123	2157
54	125	2155
55	127	2156
56	130	2153
57	133	2171
58	136	2170
59	138	2165
60	140	2163
61	142	2158
62	145	2164
63	150	2200
64	152	2200
65	155	2202
66	157	2196
67	160	2193
68	162	2189
69	164	2187
70	167	2185
71	169	2179
72	171	2180
73	173	2175
74	175	2169
75	178	2167
76	180	2164
77	182	2159
78	184	2153
79	186	2148
80	188	2143
81	191	2138
82	193	2134
83	195	2130
84	197	2125
85	199	2121
86	201	2116
87	203	2113
88	206	2109
89	208	2108
90	211	2109
91	213	2105
92	215	2104
93	218	2101
94	220	2102
95	223	2109
96	226	2106
97	228	2104
98	230	2102
99	233	2098
100	235	2093
101	237	2089
102	239	2085
103	241	2083
104	244	2080
105	246	2077
106	248	2072
107	250	2068
108	252	2063
109	254	2059
110	256	2056
111	258	2052
112	260	2048
113	263	2046
114	265	2042
115	267	2038
116	269	2034
117	271	2031
118	273	2028
119	277	2032
120	280	2034
121	282	2030
122	284	2026
123	286	2022
124	288	2018
125	290	2018
126	294	2022
127	296	2018
128	298	2014
129	300	2012
130	302	2009
131	304	2005
132	307	2002
133	309	2001
134	313	2007
135	316	2010
136	321	2022
137	324	2023
138	326	2019
139	328	2015
140	330	2015
141	333	2012
142	335	2010
143	337	2005
144	340	2008
145	342	2004
146	344	2000
147	346	1997
148	349	1996
149	351	1992
150	353	1988
151	356	1986
152	358	1982
153	360	1978
154	362	1974
155	364	1970
156	366	1966
157	368	1963
158	370	1959
159	372	1956
160	376	1959
161	378	1956
162	380	1952
163	382	1948
164	384	1944
165	386	1941
166	388	1937
167	390	1934
168	392	1930
169	394	1927
170	396	1923
171	398	1920
172	400	1916
173	403	1915
174	405	1911
175	407	1908
176	409	1905
177	411	1902
178	414	1898
179	416	1895
180	418	1892
181	420	1889
182	422	1885
183	424	1882
184	427	1881
185	429	1878
186	431	1875
187	433	1873
188	435	1870
189	437	1866
190	440	1864
191	442	1862
192	445	1860
193	447	1857
194	449	1854
195	451	1851
196	453	1848
197	455	1845
198	457	1841
199	459	1838
200	461	1835
201	463	1831
202	466	1829
203	468	1829
204	471	1826
205	473	1823
206	475	1820
207	477	1817
208	479	1814
209	481	1811
210	483	1809
211	486	1806
212	488	1803
213	490	1800
214	492	1797
215	494	1794
216	496	1792
217	498	1789
218	501	1786
219	503	1783
220	505	1780
221	507	1777
222	509	1776
223	512	1773
224	514	1770
225	516	1768
226	518	1765
227	520	1762
228	522	1759
229	524	1757
230	526	1754
231	529	1751
232	531	1748
233	533	1747
234	535	1744
235	538	1742
236	540	1739
237	542	1736
238	544	1733
239	546	1730
240	548	1727
241	550	1724
242	552	1721
243	554	1718
244	556	1715
245	558	1713
246	560	1709
247	563	1709
248	566	1708
249	568	1706
250	570	1703
251	572	1700
252	574	1697
253	576	1694
254	579	1693
255	581	1690
256	583	1688
257	586	1685
258	588	1682
259	590	1679
260	592	1676
261	594	1674
262	596	1671
263	598	1668
264	600	1665
265	602	1663
266	605	1663
267	608	1661
268	610	1659
269	612	1657
270	615	1654
271	617	1651
272	619	1649
273	621	1646
274	624	1645
275	626	1643
276	628	1640
277	630	1638
278	632	1635
279	634	1632
280	636	1629
281	638	1626
282	640	1623
283	643	1621
284	645	1618
285	647	1616
286	649	1613
287	651	1610
288	653	1608
289	655	1605
290	658	1604
291	661	1602
292	663	1602
293	666	1599
294	668	1596
295	670	1594
296	672	1592
297	675	1590
298	677	1587
299	679	1584
300	681	1582
301	683	1579
302	685	1577
303	687	1574
304	689	1571
305	692	1569
306	694	1567
307	696	1564
308	698	1561
309	700	1558
310	702	1556
311	704	1553
312	706	1551
313	709	1549
314	711	1546
315	713	1544
316	715	1541
317	717	1538
318	719	1536
319	721	1533
320	723	1531
321	725	1528
322	727	1525
323	730	1523
324	732	1520
325	734	1517
326	736	1515
327	738	1512
328	740	1510
329	742	1507
330	744	1504
331	746	1502
332	748	1499
333	750	1497
334	752	1494
335	754	1491
336	757	1489
337	759	1486
338	761	1484
339	763	1482
340	765	1479
341	767	1477
342	769	1474
343	771	1472
344	774	1469
345	776	1467
346	778	1464
347	780	1461
348	782	1459
349	784	1456
350	786	1454
351	788	1451
352	790	1449
353	792	1446
354	794	1444
355	796	1441
356	798	1438
357	800	1436
358	803	1433
359	805	1431
360	807	1428
361	809	1426
362	811	1424
363	813	1421
364	815	1419
365	817	1416
366	820	1414
367	822	1411
368	824	1409
369	826	1407
370	828	1405
371	830	1402
372	832	1400
373	835	1397
374	837	1395
375	839	1392
376	841	1390
377	843	1388
378	845	1385
379	847	1383
380	850	1381
381	852	1379
382	854	1376
383	856	1374
384	858	1371
385	860	1369
386	863	1367
387	865	1365
388	867	1362
389	870	1361
390	872	1358
391	874	1356
392	876	1354
393	878	1351
394	881	1349
395	883	1346
396	885	1344
397	887	1342
398	889	1340
399	891	1337
400	893	1335
401	896	1333
402	898	1331
403	901	1330
404	903	1327
405	906	1325
406	908	1323
407	910	1320
