iter	Passed	Remaining
0	24	4838
1	34	3384
2	39	2616
3	43	2136
4	47	1833
5	50	1646
6	54	1512
7	58	1405
8	62	1321
9	65	1248
10	69	1187
11	72	1136
12	76	1093
13	79	1052
14	82	1016
15	85	987
16	89	960
17	92	935
18	95	913
19	99	893
20	102	874
21	105	856
22	109	839
23	112	825
24	115	811
25	119	798
26	122	785
27	125	773
28	129	761
29	132	751
30	135	741
31	139	730
32	142	721
33	145	712
34	149	703
35	152	695
36	155	686
37	159	678
38	162	670
39	165	663
40	169	655
41	172	648
42	175	641
43	179	634
44	182	628
45	185	621
46	188	615
47	192	609
48	195	603
49	198	596
50	202	590
51	205	585
52	208	579
53	212	573
54	215	568
55	218	562
56	222	557
57	225	552
58	228	546
59	232	542
60	235	537
61	239	532
62	242	526
63	245	521
64	248	516
65	252	512
66	255	507
67	258	502
68	262	497
69	265	492
70	268	488
71	272	483
72	275	479
73	278	474
74	282	470
75	285	465
76	288	461
77	292	457
78	295	452
79	298	448
80	302	444
81	305	439
82	308	435
83	312	430
84	315	427
85	319	422
86	322	418
87	325	414
88	329	410
89	332	406
90	335	401
91	338	397
92	342	393
93	345	389
94	348	385
95	352	381
96	355	377
97	358	373
98	362	369
99	365	365
100	368	361
101	372	357
102	375	353
103	379	349
104	382	345
105	385	341
106	388	337
107	392	334
108	395	330
109	398	326
110	401	322
111	405	318
112	408	314
113	411	310
114	415	306
115	418	303
116	421	299
117	425	295
118	428	291
119	431	287
120	435	284
121	438	280
122	441	276
123	445	272
124	448	269
125	451	265
126	455	261
127	458	257
128	461	254
129	465	250
130	468	246
131	471	243
132	475	239
133	478	235
134	481	232
135	485	228
136	488	224
137	491	220
138	495	217
139	498	213
140	501	209
141	505	206
142	508	202
143	512	199
144	516	195
145	519	192
146	522	188
147	526	184
148	529	181
149	532	177
150	536	173
151	539	170
152	542	166
153	546	163
154	550	159
155	553	156
156	557	152
157	560	149
158	564	145
159	567	141
160	570	138
161	574	134
162	577	131
163	580	127
164	584	123
165	587	120
166	590	116
167	595	113
168	598	109
169	601	106
170	605	102
171	608	99
172	611	95
173	615	91
174	618	88
175	621	84
176	625	81
177	628	77
178	631	74
179	635	70
180	638	67
181	641	63
182	645	59
183	648	56
184	651	52
185	655	49
186	658	45
187	661	42
188	664	38
189	668	35
190	672	31
191	675	28
192	678	24
193	682	21
194	685	17
195	688	14
196	692	10
197	695	7
198	698	3
199	702	0
